snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,PV,Wind,Wind offshore,demand
2030-04-27 15:00:00,67.1688820709,0.0855657580974,110.938928689,2.62298698602,4998.045455829,62.0548206035,366.545657331,249.591029406,1579.13674974,2265.5079872181855
2030-04-27 16:00:00,67.1688820709,0.0933512182946,110.938928689,2.86164741785,4998.045455829,62.0548206035,304.264297253,224.261389407,1533.4445847,2289.919617098544
2030-04-27 17:00:00,67.1688820709,0.10924385524,110.938928689,3.34883038459,4998.045455829,62.0548206035,195.455302416,212.060823107,1482.41955981,2273.8595126970663
2030-04-27 18:00:00,67.1688820709,0.109653130103,110.938928689,3.36137655566,4998.045455829,62.0548206035,72.8782462008,178.187498368,1369.85879583,2248.9292317282484
2030-04-27 19:00:00,67.1688820709,0.112317232325,110.938928689,3.44304363388,4998.045455829,62.0548206035,1.81885103904,160.132268413,1138.35382924,2202.6196460258866
2030-04-27 20:00:00,67.1688820709,0.112467848688,110.938928689,3.44766072334,4998.045455829,62.0548206035,0.0,151.191287135,908.949142047,2119.7810751346333
2030-04-27 21:00:00,67.1688820709,0.113406088217,110.938928689,3.47642211256,4998.045455829,62.0548206035,0.0,145.881759151,721.246746008,1969.0745960492739
2030-04-27 22:00:00,67.1688820709,0.10299669016,110.938928689,3.15732582636,4998.045455829,62.0548206035,0.0,143.549340899,509.597054507,1754.8240768231794
2030-04-27 23:00:00,67.1688820709,0.110411834927,110.938928689,3.38463437426,4998.045455829,62.0548206035,0.0,165.732748621,353.406859353,1602.0615569928116
2030-04-28 00:00:00,67.1688820709,0.107546910887,110.938928689,3.29681117676,4998.045455829,62.0548206035,0.0,184.160154879,265.016771912,1686.6070113603716
2030-04-28 01:00:00,67.1688820709,0.101774488582,110.938928689,3.11985968449,4998.045455829,62.0548206035,0.0,204.756245424,287.213477866,1675.0507613065795
2030-04-28 02:00:00,67.1688820709,0.101885342225,110.938928689,3.12325786232,4998.045455829,62.0548206035,0.0,226.137202088,239.472558239,1648.8287760085198
2030-04-28 03:00:00,67.1688820709,0.103040067672,110.938928689,3.15865554812,4998.045455829,62.0548206035,0.0,247.069852124,307.91574252,1627.0535014274844
2030-04-28 04:00:00,67.1688820709,0.109180395546,110.938928689,3.3468850509,4998.045455829,62.0548206035,0.0,268.81253628,458.652895704,1618.3076203279668
2030-04-28 05:00:00,67.1688820709,0.110650009602,110.938928689,3.39193553171,4998.045455829,62.0548206035,0.594959730626,273.629747499,486.453996208,1664.9703988661668
2030-04-28 06:00:00,67.1688820709,0.10723443214,110.938928689,3.28723225518,4998.045455829,62.0548206035,64.002391075,294.096592775,423.821261805,1819.5289074952289
2030-04-28 07:00:00,67.1688820709,0.12113692488,110.938928689,3.71340807995,4998.045455829,62.0548206035,224.618496494,329.230559471,351.369378256,2010.3345573043282
2030-04-28 08:00:00,67.1688820709,0.15994092127,110.938928689,4.90293038188,4998.045455829,62.0548206035,411.007214124,352.59345382,288.668200954,2104.099829775986
2030-04-28 09:00:00,67.1688820709,0.277565070929,110.938928689,8.50865562358,4998.045455829,62.0548206035,526.288380719,358.090982199,287.369784383,2136.343042665281
2030-04-28 10:00:00,67.1688820709,0.321358284538,110.938928689,9.85112055263,4998.045455829,62.0548206035,610.867819796,314.84354292,328.877381767,2134.8550483504905
2030-04-28 11:00:00,67.1688820709,0.366619907273,110.938928689,11.2385990258,4998.045455829,62.0548206035,670.626650345,323.725288727,253.589508468,2121.8440570551174
2030-04-28 12:00:00,67.1688820709,0.37755987657,110.938928689,11.5739597791,259.70287198861445,62.0548206035,707.938595639,325.388886861,185.640050049,2094.6188297667754
2030-04-28 13:00:00,67.1688820709,0.436751303811,110.938928689,13.3884513092,4998.045455829,62.0548206035,697.032876483,328.929352219,158.959794824,2056.377795575641
2030-04-28 14:00:00,67.1688820709,0.388337581839,110.938928689,11.904346388,490.371912637445,62.0548206035,606.318199837,328.773825285,100.684198433,2020.4137897859418
2030-04-28 15:00:00,67.1688820709,0.416709286486,110.938928689,12.7740706062,4998.045455829,62.0548206035,499.362858599,324.919554703,60.8067465249,2002.7150837041172
