snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,Hydro,Nuclear,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-12-08 08:00:00,55.1867269055,2.9693214621,349.367618054,4.10714593882,2.98564353422,0.0,0.0,0.0,0.0,55.797382811,60.8242830213,1495.834178631688
2030-12-08 09:00:00,55.1867269055,3.36188393333,349.367618054,4.65013577,2.98564353422,0.0,58.9913874283,0.0,0.0,67.9345229041,60.8200089197,1590.792518382525
2030-12-08 10:00:00,55.1867269055,3.34299844884,349.367618054,4.62401349193,2.98564353422,0.0,125.663793927,0.0,0.0,104.99178304,58.4660253615,1628.7187885529438
2030-12-08 11:00:00,55.1867269055,4.31365363093,349.367618054,5.96661736288,2.98564353422,0.0,160.371636805,0.0,0.0,128.72194297,55.0848790822,1645.3837913838158
2030-12-08 12:00:00,55.1867269055,4.33031119818,349.367618054,5.98965800046,2.98564353422,0.0,160.291537522,0.0,0.0,158.517707045,52.0282043976,1649.6336801830014
2030-12-08 13:00:00,55.1867269055,4.82908832836,349.367618054,6.67956325011,2.98564353422,0.0,117.382160214,0.0,0.0,183.582250728,52.7723875094,1630.340878909642
2030-12-08 14:00:00,55.1867269055,5.24754817862,349.367618054,7.25837416583,2.98564353422,0.0,56.3712437607,0.0,0.0,202.878041867,54.5263531439,1613.5979385279757
2030-12-08 15:00:00,55.1867269055,5.47670414648,349.367618054,7.57534119509,2.98564353422,0.0,12.9704007211,0.0,0.0,221.255388656,53.0823785917,1625.3018422470752
2030-12-08 16:00:00,55.1867269055,6.08634174752,349.367618054,8.41858791971,2.98564353422,0.0,0.0,0.0,0.0,240.306189531,51.7519760119,1719.6830097951267
2030-12-08 17:00:00,55.1867269055,6.46698745213,349.367618054,8.9450945576,2.98564353422,0.0,0.0,0.0,0.0,254.5616313,51.7753008781,1798.101939579452
2030-12-08 18:00:00,55.1867269055,6.82175304837,349.367618054,9.43580399962,2.98564353422,0.0,0.0,0.0,0.0,257.770507842,54.8636124206,1783.7129303952222
2030-12-08 19:00:00,55.1867269055,6.10301658544,349.367618054,8.44165244598,2.98564353422,0.0,0.0,0.0,0.0,255.21232255,62.5986119426,1705.9445258026653
2030-12-08 20:00:00,55.1867269055,4.32348928106,349.367618054,5.98022196952,2.98564353422,0.0,0.0,0.0,0.0,238.876189232,72.6446011721,1584.3111544448127
2030-12-08 21:00:00,55.1867269055,4.21380321618,349.367618054,5.82850492518,2.98564353422,0.0,0.0,0.0,0.0,218.654493902,82.0936100855,1457.7750768151018
2030-12-08 22:00:00,55.1867269055,3.81934097057,349.367618054,5.28288733855,2.98564353422,0.0,0.0,0.0,0.0,210.176723811,87.8783213571,1340.732178940478
2030-12-08 23:00:00,55.1867269055,3.45180370924,349.367618054,4.77451221329,2.98564353422,0.0,0.0,0.0,0.0,202.865637107,86.0900670271,1238.0185703001716
2030-12-09 00:00:00,55.1867269055,3.39106274085,349.367618054,4.69049570488,2.98564353422,0.0,0.0,0.0,0.0,198.77048136,85.3338064267,1214.4971139875954
2030-12-09 01:00:00,55.1867269055,4.02240094661,349.367618054,5.56375856337,2.98564353422,0.0,0.0,0.0,0.0,193.801787038,85.277039909,1181.557640604366
2030-12-09 02:00:00,55.1867269055,3.74177836352,349.367618054,5.17560325005,2.98564353422,0.0,0.0,0.0,0.0,187.987158445,83.7393405147,1132.0074552538208
2030-12-09 03:00:00,55.1867269055,3.49982482456,349.367618054,4.84093470452,2.98564353422,0.0,0.0,0.0,0.0,191.526411963,82.3990080337,1088.452911581704
2030-12-09 04:00:00,55.1867269055,3.81824428263,349.367618054,5.281370407,2.98564353422,0.0,0.0,0.0,0.0,196.868579759,80.1816270517,1056.1789235393112
2030-12-09 05:00:00,55.1867269055,3.65792923031,349.367618054,5.05962367986,2.98564353422,0.0,0.0,0.0,0.0,199.626234475,77.3256183349,1049.4826884282797
2030-12-09 06:00:00,55.1867269055,3.80923762496,349.367618054,5.26891245729,2.98564353422,0.0,0.0,0.0,0.0,193.885497824,73.9524906375,1262.3216944015953
2030-12-09 07:00:00,55.1867269055,3.49009279849,349.367618054,4.82747343,2.98564353422,0.0,0.0,0.0,0.0,186.851444755,67.593944972,1388.7412276442055
2030-12-09 08:00:00,55.1867269055,3.40673587955,349.367618054,4.71217468736,2.98564353422,0.0,0.0,0.0,0.0,184.294070949,62.933877161,1319.8794201876012
2030-12-09 09:00:00,55.1867269055,4.21059950573,349.367618054,5.82407357394,2.98564353422,0.0,37.6501916045,0.0,0.0,182.915990444,58.0899943645,1455.6210566419152
2030-12-09 10:00:00,55.1867269055,4.46704314207,349.367618054,6.17878472697,2.98564353422,0.0,84.4832254024,0.0,0.0,182.935417963,56.5707795437,1537.7673558252875
2030-12-09 11:00:00,55.1867269055,4.57995882341,349.367618054,6.33496895557,2.98564353422,0.0,111.307984262,0.0,0.0,182.90104552,54.1164704961,1581.1040121649983
2030-12-09 12:00:00,55.1867269055,4.6137489015,349.367618054,6.38170716959,2.98564353422,0.0,103.529315024,0.0,0.0,185.371325704,52.9820891972,1605.5719391989055
2030-12-09 13:00:00,55.1867269055,4.80967608825,349.367618054,6.65271236712,2.98564353422,0.0,81.9418925808,0.0,0.0,167.663013098,52.8780491806,1603.9520204767498
2030-12-09 14:00:00,55.1867269055,4.99968806838,349.367618054,6.91553568972,2.98564353422,0.0,55.0469766956,0.0,0.0,158.533129154,52.7896613634,1600.4071890256155
2030-12-09 15:00:00,55.1867269055,6.71320684812,349.367618054,9.28566360855,2.98564353422,0.0,17.4425061426,0.0,0.0,137.662355463,49.1576655699,1634.3596092764415
2030-12-09 16:00:00,55.1867269055,9.72152549721,349.367618054,13.4467502002,2.98564353422,0.0,0.0,0.0,0.0,117.689112904,47.1778103595,1728.8874828024584
2030-12-09 17:00:00,55.1867269055,10.532504642,349.367618054,14.5684912254,2.98564353422,0.0,0.0,0.0,0.0,98.3891296645,45.6422070325,1799.323242716741
2030-12-09 18:00:00,55.1867269055,11.7503895546,349.367618054,16.2530616354,2.98564353422,0.0,0.0,0.0,0.0,78.2662422005,45.6562491417,1790.1145470866884
2030-12-09 19:00:00,55.1867269055,11.7645946859,349.367618054,16.2727100796,2.98564353422,0.0,0.0,0.0,0.0,64.0987231211,44.7884515168,1716.6594912804962
2030-12-09 20:00:00,55.1867269055,12.098082809,349.367618054,16.7339886606,2.98564353422,0.0,0.0,0.0,0.0,57.9623376653,45.0100988402,1596.2108672118052
2030-12-09 21:00:00,55.1867269055,9.55454396386,349.367618054,13.2157824403,2.98564353422,0.0,0.0,0.0,0.0,52.84907658,45.678244409,1463.6551392773372
2030-12-09 22:00:00,55.1867269055,7.39671976684,349.367618054,10.2310941872,2.98564353422,0.0,0.0,0.0,0.0,49.9067808248,49.4372733212,1334.6227677413083
2030-12-09 23:00:00,55.1867269055,5.76273245124,349.367618054,7.97097366711,2.98564353422,0.0,0.0,0.0,0.0,43.3572653834,51.758392031,1227.5935180337315
