snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,PV,SCGT,Wind,Wind offshore,demand
2030-06-03 13:00:00,214.262816583,5.56317030927,156.957433553,4.89481882406,1947.2359943249999,0.0577755610487,1908.30401319,721.829106107,0.0,17.6579911092,61.5955430265,3019.797594961444
2030-06-03 14:00:00,214.262816583,8.30427243647,156.957433553,7.30660878284,1947.2359943249999,0.0577755610487,1908.30401319,654.01673526,0.0,17.4656428606,80.9509000127,2999.9138157545417
2030-06-03 15:00:00,214.262816583,11.9319371763,156.957433553,10.4984509644,1947.2359943249999,0.0577755610487,1908.30401319,537.610110412,0.0,19.467253338,102.469696535,3030.2477830190282
2030-06-03 16:00:00,214.262816583,14.2079215165,156.957433553,12.5010017352,1947.2359943249999,0.0577755610487,1908.30401319,425.802003332,0.0,22.9888494301,125.638249218,3130.9956633187653
2030-06-03 17:00:00,214.262816583,14.6685270783,156.957433553,12.9062707903,1947.2359943249999,0.0577755610487,1908.30401319,287.203691889,0.0,27.1130645923,140.837711245,3199.7501769673145
2030-06-03 18:00:00,214.262816583,14.4787596188,156.957433553,12.7393017275,1947.2359943249999,0.0577755610487,1908.30401319,150.095813013,0.0,31.9457674816,154.57301487,3197.870500832964
2030-06-03 19:00:00,214.262816583,15.0566531546,156.957433553,13.2477679437,1947.2359943249999,0.0577755610487,1908.30401319,53.40917091,0.0,35.081629545,157.29823564,3141.484442059762
2030-06-03 20:00:00,214.262816583,14.7612368717,156.957433553,12.9878425591,0.0,0.0577755610487,1908.30401319,0.810240256253,0.0,37.2033382227,159.349206067,3027.670094377422
2030-06-03 21:00:00,214.262816583,14.6231209442,156.957433553,12.8663196855,0.0,0.0577755610487,1908.30401319,0.0,0.0,38.1281653023,162.551509231,2851.828969415906
2030-06-03 22:00:00,214.262816583,11.6242542149,156.957433553,10.2277326027,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,32.5747820033,148.225364625,2621.774976356523
2030-06-03 23:00:00,214.262816583,10.0577351174,156.957433553,8.84941291443,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,29.8504484975,130.499012239,2419.4426148100965
2030-06-04 00:00:00,214.262816583,9.59248286002,156.957433553,8.44005541129,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,27.2832593611,112.646295566,2217.5086950277987
2030-06-04 01:00:00,214.262816583,9.34741822964,156.957433553,8.22443250219,0.0,0.0577755610487,1908.30401319,0.0,0.0,25.0402295482,106.976138967,2164.22636943103
2030-06-04 02:00:00,214.262816583,8.62981006401,156.957433553,7.59303677598,1947.2359943249999,0.0577755610487,1908.30401319,0.0,0.0,22.4122408183,103.25980861,2125.716670117772
2030-06-04 03:00:00,214.262816583,9.22626049962,156.957433553,8.11783049207,0.0,0.0577755610487,1908.30401319,0.0,0.0,20.5314706439,98.7830949564,2113.448072156801
2030-06-04 04:00:00,214.262816583,9.93009293125,156.957433553,8.73710548165,1947.2359943249999,0.0577755610487,1908.30401319,0.0198803822124,0.0,19.305936914,97.5832391866,2206.6811914926234
2030-06-04 05:00:00,214.262816583,11.8591887502,156.957433553,10.4344424322,1947.2359943249999,0.0577755610487,1908.30401319,37.5737955668,0.0,19.2948630434,98.3186907751,2631.5674326931867
