snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-04-06 11:00:00,170.69109399,5.50166228188,120.50029013,74.3813335865,0.0,3.76269557687,1975.20615723,485.254494157,0.0,0.0,158.343885609,1104.20981587,4483.2968955080105
2030-04-06 12:00:00,170.69109399,5.42089576356,120.50029013,73.2893870013,0.0,3.76269557687,1975.20615723,525.808450255,0.0,0.0,179.580387642,1007.05520214,4409.136982117612
2030-04-06 13:00:00,170.69109399,5.29108454112,120.50029013,71.534366183,0.0,3.76269557687,1975.20615723,492.717521648,0.0,0.0,187.08029359,849.94036303,4327.174446841221
2030-04-06 14:00:00,170.69109399,5.2926509513,120.50029013,71.5555437239,0.0,3.76269557687,1975.20615723,448.564102464,0.0,0.0,191.502510306,747.869934892,4273.2463884895515
2030-04-06 15:00:00,170.69109399,5.35185322292,120.50029013,72.3559461639,0.0,3.76269557687,1975.20615723,368.652436689,0.0,0.0,187.815743025,768.836607557,4349.258647587223
2030-04-06 16:00:00,170.69109399,5.34502126471,120.50029013,72.2635795051,0.0,3.76269557687,1975.20615723,234.451315156,0.0,0.0,177.971839328,898.509156687,4435.292613864504
2030-04-06 17:00:00,170.69109399,5.52427481846,120.50029013,74.6870503936,0.0,3.76269557687,1975.20615723,103.859202201,0.0,0.0,160.507682256,1031.36403165,4512.774448539194
2030-04-06 18:00:00,170.69109399,5.30373229915,120.50029013,71.7053612498,0.0,3.76269557687,1975.20615723,15.6305129929,0.0,0.0,148.82522434,1118.78946285,4549.9734892749175
2030-04-06 19:00:00,170.69109399,5.52230676466,120.50029013,74.6604427141,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,135.835477299,1144.53663764,4463.765477092255
2030-04-06 20:00:00,170.69109399,5.42912544162,120.50029013,73.4006505426,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,128.775111068,1029.86392929,4201.220827517781
2030-04-06 21:00:00,170.69109399,5.05354446323,120.50029013,68.3228735707,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,126.397457926,830.846565246,3813.3500399103195
2030-04-06 22:00:00,170.69109399,4.82014934764,120.50029013,65.1674199895,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,142.470747373,714.838822294,3381.1737733026675
2030-04-06 23:00:00,170.69109399,4.55201205773,120.50029013,61.5422594132,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,131.692027896,572.61929413,3086.306639882727
2030-04-07 00:00:00,170.69109399,4.46116026777,120.50029013,60.313962046,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,121.250566177,623.23229596,3433.8998680145405
2030-04-07 01:00:00,170.69109399,4.78669243295,120.50029013,64.7150894382,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,120.690282861,760.02768787,3424.9564602787996
2030-04-07 02:00:00,170.69109399,4.81247795424,120.50029013,65.0637043409,1063.748403789,3.76269557687,1975.20615723,0.0,0.0,0.0,121.525529068,795.769376832,3367.574964751928
2030-04-07 03:00:00,170.69109399,4.81914523856,120.50029013,65.1538446428,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,121.8302095,788.738895886,3323.6951130504244
2030-04-07 04:00:00,170.69109399,4.82533055052,120.50029013,65.2374687783,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,124.560621506,847.12364099,3317.11473834959
2030-04-07 05:00:00,170.69109399,4.78532684459,120.50029013,64.6966269668,0.0,3.76269557687,1975.20615723,0.0,0.0,0.0,141.661538342,969.467076658,3427.682307052556
2030-04-07 06:00:00,170.69109399,4.93405548218,120.50029013,66.7074073163,1063.748403789,3.76269557687,1975.20615723,9.59750503388,0.0,0.0,162.105703754,925.940235875,3769.294179379689
2030-04-07 07:00:00,170.69109399,5.28569448356,120.50029013,71.4614937221,0.0,3.76269557687,1975.20615723,124.747590322,0.0,0.0,183.63291235,958.582651163,4143.471938096654
2030-04-07 08:00:00,170.69109399,5.27746078907,120.50029013,71.3501758794,0.0,3.76269557687,1975.20615723,313.160786356,0.0,0.0,221.525957283,969.929554076,4296.454363079512
2030-04-07 09:00:00,170.69109399,5.2893132927,120.50029013,71.5104192715,0.0,3.76269557687,1975.20615723,489.915107487,0.0,0.0,240.750645143,1091.85328372,4331.011962762509
2030-04-07 10:00:00,170.69109399,5.36265342023,120.50029013,72.5019625927,0.0,3.76269557687,1975.20615723,604.929066214,0.0,0.0,267.48485177,1088.10118434,4298.663633754401
2030-04-07 11:00:00,170.69109399,5.39137495648,120.50029013,72.890271809,0.0,3.76269557687,1975.20615723,691.464951204,0.0,0.0,273.013305836,1174.07001091,4254.524021810655
2030-04-07 12:00:00,170.69109399,5.07596421087,120.50029013,68.6259839113,0.0,3.76269557687,1975.20615723,720.647466472,0.0,0.0,273.771853489,1274.63800142,4184.403478333314
2030-04-07 13:00:00,170.69109399,4.87976129577,120.50029013,65.9733611709,0.0,3.76269557687,1975.20615723,700.443451856,0.0,0.0,274.459401775,1325.16544937,4098.612260292486
2030-04-07 14:00:00,170.69109399,4.97543280933,120.50029013,67.2668202021,0.0,3.76269557687,1975.20615723,647.702086156,0.0,0.0,265.021690567,1368.78816906,4027.1258490426485
2030-04-07 15:00:00,170.69109399,4.71781858263,120.50029013,63.7839292591,0.0,3.76269557687,1975.20615723,537.931604219,0.0,0.0,261.542605109,1443.13868071,4007.3572440077173
