snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,SCGT_CHP,Wind,Wind offshore,demand
2030-05-25 07:00:00,190.213506983,8.10464607169,176.325152502,27.5871038345,3854.646925258,0.639224419425,0.0,0.0,388.135256313,0.0,0.0,8.13738062818,23.9010819052,4753.532372639633
2030-05-25 08:00:00,190.213506983,8.16457335024,176.325152502,27.7910880728,3854.646925258,0.639224419425,0.0,0.0,587.00328462,0.0,0.0,8.29194790814,23.690885241,4864.538899761509
2030-05-25 09:00:00,190.213506983,7.96554326559,176.325152502,27.1136169577,3854.646925258,0.639224419425,0.0,0.0,767.7883064,0.0,0.0,8.07060348023,23.2105139219,4879.662649551128
2030-05-25 10:00:00,190.213506983,7.93040450835,176.325152502,26.9940094467,3854.646925258,0.639224419425,0.0,0.0,915.849246644,0.0,0.0,7.72556347147,14.926727468,4910.438889045884
2030-05-25 11:00:00,190.213506983,7.90268635822,176.325152502,26.8996606646,3854.646925258,0.639224419425,0.0,0.0,1014.06489863,0.0,0.0,8.6143168148,28.6101054535,4943.6247357344355
2030-05-25 12:00:00,190.213506983,7.61161220449,176.325152502,25.9088841605,0.0,0.639224419425,0.0,0.0,1048.96578314,0.0,0.0,9.42834870074,63.1832453388,4888.632533237115
2030-05-25 13:00:00,190.213506983,6.85769027316,176.325152502,23.3426372918,2971.910562079774,0.639224419425,0.0,0.0,980.623316619,0.0,0.0,8.83024391677,51.8005928605,4829.188917753859
2030-05-25 14:00:00,190.213506983,6.81188229459,176.325152502,23.1867132145,3854.646925258,0.639224419425,0.0,0.0,849.847752646,0.0,0.0,7.01543754467,35.8283323254,4796.810608507384
2030-05-25 15:00:00,190.213506983,6.69638440617,176.325152502,22.7935742405,3854.646925258,0.639224419425,0.0,0.0,644.560090675,0.0,0.0,5.91668034527,30.5095232035,4908.823814161732
2030-05-25 16:00:00,190.213506983,8.384857934,176.325152502,28.5409065882,995.38397339939,0.639224419425,0.0,0.0,403.801672577,0.0,0.0,4.27044331738,29.8825177265,4979.1645113935465
2030-05-25 17:00:00,190.213506983,8.48224081093,176.325152502,28.8723845471,2399.5348866767226,0.639224419425,0.0,0.0,227.039179043,0.0,0.0,3.18598189515,28.9971479565,4936.912868167307
2030-05-25 18:00:00,190.213506983,8.23212270035,176.325152502,28.0210167975,2015.8690828488518,0.639224419425,0.0,0.0,117.320364322,0.0,0.0,2.42598240244,26.9535029269,4866.624597875618
2030-05-25 19:00:00,190.213506983,7.5490910712,176.325152502,25.6960707963,3854.646925258,0.639224419425,0.0,0.0,37.5147866264,0.0,0.0,2.0754249038,27.4071404619,4732.713187664685
2030-05-25 20:00:00,190.213506983,7.38203507312,176.325152502,25.1274350873,1277.3780559778645,0.639224419425,0.0,0.0,0.00638160194511,0.0,0.0,2.13130681338,32.2425745337,4539.327681191352
2030-05-25 21:00:00,190.213506983,7.39115133933,176.325152502,25.1584656073,3854.646925258,0.639224419425,0.0,0.0,0.0,0.0,0.0,2.54547565826,42.9894036368,4200.977214758931
