snapshot,Biogas,Biogas_CHP,Biomass,Biomass_CHP,CCGT,Hydro,Nuclear,Oil,PV,SCGT,Wind,Wind offshore,demand
2030-12-17 07:00:00,127.242403639,14.4915983986,188.384000266,28.4051466219,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2415.68053348,2730.14794074,4056.8876762740024
2030-12-17 08:00:00,127.242403639,17.6747703946,188.384000266,34.644518207,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2448.58191035,2762.06941066,4301.323299600884
2030-12-17 09:00:00,127.242403639,17.7331999038,188.384000266,34.7590465518,1236.67302115,603.821391268,1911.48982958,0.0,67.3236152432,0.0,2410.04171152,2758.76302818,4413.937913587285
2030-12-17 10:00:00,127.242403639,17.9235577795,188.384000266,35.1321691859,1236.67302115,603.821391268,1911.48982958,0.0,156.314287919,0.0,2285.08825981,2622.25175043,4449.488278683346
2030-12-17 11:00:00,127.242403639,17.6659474085,188.384000266,34.6272241718,1236.67302115,603.821391268,1911.48982958,0.0,210.525899303,0.0,2253.44652796,2528.14069776,4456.762884412526
2030-12-17 12:00:00,127.242403639,17.6479110389,188.384000266,34.5918708788,1236.67302115,603.821391268,1911.48982958,0.0,233.190945599,0.0,2412.38426254,2442.38540482,4422.354638224225
2030-12-17 13:00:00,127.242403639,16.956777133,188.384000266,33.2371714598,1236.67302115,603.821391268,1911.48982958,0.0,212.004935978,0.0,2438.99257044,2439.04785718,4368.554659771708
2030-12-17 14:00:00,127.242403639,16.2481273876,188.384000266,31.8481390448,1236.67302115,603.821391268,1911.48982958,0.0,151.447854926,0.0,2543.55754804,2578.34247604,4340.184383860911
2030-12-17 15:00:00,127.242403639,15.2368674399,188.384000266,29.865956935,1236.67302115,603.821391268,1911.48982958,0.0,71.3038126272,144.62786179601,2320.5016552,2709.3448153,4432.684398831028
2030-12-17 16:00:00,127.242403639,15.2447534717,188.384000266,29.8814144354,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2252.82388985,2824.28221076,4640.396912681758
2030-12-17 17:00:00,127.242403639,15.2426453246,188.384000266,29.8772822323,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2212.63293113,2918.74409897,4767.526944501878
2030-12-17 18:00:00,127.242403639,16.9427878853,188.384000266,33.2097509763,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2261.50377142,2961.95255314,4745.730584634361
2030-12-17 19:00:00,127.242403639,17.3750621478,188.384000266,34.0570566683,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2255.83815999,3133.01663444,4608.196868653538
2030-12-17 20:00:00,127.242403639,17.6774511248,188.384000266,34.6497727368,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,2272.68793978,3453.51858485,4353.444685354478
2030-12-17 21:00:00,127.242403639,14.9316155471,188.384000266,29.2676292327,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2342.49606814,3550.33012969,3982.2584164466016
2030-12-17 22:00:00,127.242403639,14.2791179916,188.384000266,27.9886613628,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2374.79067782,3397.95800707,3525.502201734072
2030-12-17 23:00:00,127.242403639,9.68126216884,188.384000266,18.9763519405,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2341.85269763,3409.86403656,3156.663533687917
2030-12-18 00:00:00,127.242403639,8.49989296831,188.384000266,16.6607367521,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2266.61565285,3454.52427207,2970.444293133712
2030-12-18 01:00:00,127.242403639,8.50608727708,188.384000266,16.6728782871,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2141.70663369,3556.9210718,2887.259966018501
2030-12-18 02:00:00,127.242403639,8.5096268821,188.384000266,16.6798163071,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2035.87337347,3630.21762154,2792.314665490437
2030-12-18 03:00:00,127.242403639,8.50922347123,188.384000266,16.6790255769,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,2010.76876648,3707.66746543,2718.7116229987887
2030-12-18 04:00:00,127.242403639,8.34849677436,188.384000266,16.3639833527,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,1921.5159277,3723.56947643,2710.392319045382
2030-12-18 05:00:00,127.242403639,8.50323737452,188.384000266,16.6672921607,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,1802.98171325,3703.09051027,2955.0879948743777
2030-12-18 06:00:00,127.242403639,9.54795439758,188.384000266,18.7150538639,0.0,603.821391268,1911.48982958,0.0,0.0,0.0,1737.04105633,3652.51633454,3478.0013021119426
2030-12-18 07:00:00,127.242403639,11.9155467423,188.384000266,23.3557985107,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,1674.33377073,3570.87056713,3989.8559096987096
2030-12-18 08:00:00,127.242403639,14.9986988701,188.384000266,29.399120016,1236.67302115,603.821391268,1911.48982958,0.0,0.0,0.0,1574.9969689,3379.06185704,4250.718402753018
