snapshot,EN_East,EN_EastMidlands,EN_EastMidlands_Battery,EN_EastMidlands_OtherStorage,EN_East_Battery,EN_East_OtherStorage,EN_London,EN_London_Battery,EN_London_OtherStorage,EN_NorthEast,EN_NorthEast_Battery,EN_NorthEast_OtherStorage,EN_NorthWest,EN_NorthWest_Battery,EN_NorthWest_OtherStorage,EN_SouthEast,EN_SouthEast_Battery,EN_SouthEast_OtherStorage,EN_SouthWest,EN_SouthWest_Battery,EN_SouthWest_OtherStorage,EN_Wales,EN_Wales_Battery,EN_Wales_OtherStorage,EN_WestMidlands,EN_WestMidlands_Battery,EN_WestMidlands_OtherStorage,EN_Yorkshire,EN_Yorkshire_Battery,EN_Yorkshire_OtherStorage,NorthernIreland,NorthernIreland_Battery,NorthernIreland_OtherStorage,Scotland,Scotland_Battery,Scotland_OtherStorage
2030-12-26 02:00:00,-578.7050149960145,919.7331046321851,0.0,0.0,0.0,0.0,-3846.007441694322,0.0,0.0,-1159.0811477166772,0.0,0.0,2682.7616324323562,0.0,0.0,-4535.167899132387,0.0,0.0,-2262.933622633576,0.0,0.0,2640.440177909083,0.0,0.0,-2411.252398916035,0.0,0.0,1183.2126101039744,0.0,0.0,-410.49471172704745,0.0,0.0,7777.494711724076,0.0,0.0
2030-12-26 03:00:00,-680.3495879784782,1024.7990338625139,0.0,0.0,0.0,0.0,-3708.926333888321,0.0,0.0,-1012.7576009164325,0.0,0.0,2893.7905611049805,0.0,0.0,-4807.780871229828,0.0,0.0,-2186.542673400802,0.0,0.0,2759.0283965516724,0.0,0.0,-2326.8578601047634,0.0,0.0,678.5969359900987,0.0,0.0,-406.75224766706657,0.0,0.0,7773.752247665726,0.0,0.0
2030-12-26 04:00:00,-1567.6746283616858,1030.0917782026697,0.0,0.0,0.0,0.0,-3606.8029001786845,0.0,0.0,-989.392012280443,0.0,0.0,2985.9896216044285,0.0,0.0,-3120.7675849866578,0.0,0.0,-2669.429425957949,0.0,0.0,2308.1225567654774,0.0,0.0,-2262.8960345654777,0.0,0.0,525.758629750193,0.0,0.0,-402.6012730542228,0.0,0.0,7769.6012730573575,0.0,0.0
2030-12-26 05:00:00,-2308.870845447394,671.5672348859835,0.0,0.0,0.0,0.0,-3582.160518980995,0.0,0.0,-987.5803551398097,0.0,0.0,3007.0826149005447,0.0,0.0,-4227.019025781736,0.0,0.0,-2123.5455264508796,0.0,0.0,3756.295774764475,0.0,0.0,-2247.552663099556,0.0,0.0,674.7833103428316,0.0,0.0,-500.0000000001809,0.0,0.0,7867.000000002906,0.0,0.0
2030-12-26 06:00:00,-2839.8777944789117,281.3314151412683,0.0,0.0,0.0,0.0,-3898.3489117485847,0.0,0.0,-1036.1898768732501,0.0,0.0,2837.427291849496,0.0,0.0,-3225.3666530135306,0.0,0.0,-2293.9341122410788,0.0,0.0,3893.9833006144418,0.0,0.0,-2347.7872442757325,0.0,0.0,1915.4215372682047,0.0,0.0,-500.0000000001163,0.0,0.0,7213.341047762695,0.0,0.0
2030-12-26 07:00:00,-733.6773908739295,991.5418852045632,0.0,0.0,0.0,0.0,-4020.64736139246,0.0,0.0,-1122.3375829597271,0.0,0.0,2604.4806985087266,0.0,0.0,-3510.0051061199047,0.0,0.0,-2554.83476387439,0.0,0.0,2292.664929194979,0.0,0.0,-2523.000613854495,0.0,0.0,1208.8153061658118,0.0,0.0,-499.99999999964655,0.0,0.0,7866.999999995536,0.0,0.0
2030-12-26 08:00:00,-840.7700422847129,737.3195470577066,0.0,0.0,0.0,0.0,-4424.498553239873,0.0,0.0,-1244.0415329889413,0.0,0.0,2327.280252307457,0.0,0.0,-3907.330036579217,0.0,0.0,-2256.3712032702047,0.0,0.0,3170.5307087951232,0.0,0.0,-2776.6341516817865,0.0,0.0,1847.5150118750603,0.0,0.0,-500.0000000004045,0.0,0.0,7866.999999997319,0.0,0.0
2030-12-26 09:00:00,-840.3953134745857,690.1679881789578,0.0,0.0,0.0,0.0,-4815.141124928154,0.0,0.0,-1029.3566421269393,0.0,0.0,2215.4973276267574,0.0,0.0,-4012.984711360583,0.0,0.0,-2100.7225405689505,0.0,0.0,3629.142896932406,0.0,0.0,-2872.876865168457,0.0,0.0,1769.6689848819751,0.0,0.0,-500.0000000004337,0.0,0.0,7867.000000000704,0.0,0.0
2030-12-26 10:00:00,-1349.7695210104946,398.00191090360977,0.0,0.0,0.0,0.0,-5027.833284232173,0.0,0.0,-945.9631212588947,0.0,0.0,2290.478694274902,0.0,0.0,-4608.849225402777,0.0,0.0,-1731.2389569406375,0.0,0.0,4601.6266648479905,0.0,0.0,-2711.9375881554565,0.0,0.0,1718.4844269843916,0.0,0.0,-499.99999999878554,0.0,0.0,7867.000000003134,0.0,0.0
2030-12-26 11:00:00,-80.21944610183937,965.811372257313,0.0,0.0,0.0,0.0,-5286.881250929862,0.0,0.0,-1105.768767175285,0.0,0.0,2628.775377719292,0.0,0.0,-3299.6728350160884,0.0,0.0,-2402.3943398948077,0.0,0.0,2569.0561480429133,0.0,0.0,-2525.663630852911,0.0,0.0,1169.957371962797,0.0,0.0,-286.0802016331522,0.0,0.0,7653.08020163612,0.0,0.0
