snapshot,BECCS,Biogas,Biomass,CCGT,CCGT CCS,DSR,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
28/10/2030 09:00:00,0.0,9349.766669999999,14808.426474,12715.4406483,860.0,42561.185522818,4172.640084,18391.168742581394,2730.5537256,96968.801155496,3822.9276597479998,8721.225513174,177169.382511,2616.1118406,52524.561480000004,53908.820198208
28/10/2030 10:00:00,0.0,9338.33667,14774.901474,11930.8962906,860.0,31959.247700902,3932.5060269,18124.9727551504,2567.5943724,92031.733296232,3599.820474939,8524.0532119404,226573.653038,2432.9220435,48727.224841999996,48102.92877542401
28/10/2030 11:00:00,0.0,9351.82407,14814.460974,11466.3967623,860.0,33971.298756113996,3810.9762864,17992.3428511504,2483.7365529,85937.282128136,3472.615340253,8408.7946272684,249107.793192,2313.2257128,47001.4754057986,47042.588610000006
28/10/2030 12:00:00,0.0,9351.13827,14812.449474000001,11211.832283400001,860.0,34890.450753384,3758.5006839,16204.8709100384,2449.9631376,82078.025535016,3365.102599893,8347.073895826801,243133.08518,2250.9138267,45847.083876,39416.095030480006
28/10/2030 13:00:00,0.0,9470.997068,17040.184354496003,11124.1779912,860.0,36436.5888,3770.9732547,16049.5514392504,2453.1798906,87641.97173690399,3335.867567937,8327.2953946956,210158.255447,2234.1819078,38175.875602,35223.217130912
28/10/2030 14:00:00,550.0,9466.196468,19367.790974,11324.7950985,860.0,39681.439395157984,3854.425113,18756.3633830384,2506.8734082,86336.482201448,3369.436660935,8379.1439754348,153862.635876,2250.520263,44780.0335961012,32620.473405983998
28/10/2030 15:00:00,550.0,10864.369298,19329.050974,34045.12372722257,860.0,48185.27030169601,4024.6391691,18936.3696446384,2616.3183546,89744.94243524,3514.655264184,8505.3842941596,84938.76158,2329.7233689,46229.475046187596,31287.381356128
28/10/2030 16:00:00,550.0,10864.140698,21731.641962,52018.1689742534,860.0,56195.27061584401,4222.049742,19563.338190679402,2743.0148754,99799.1,3670.891393131,8795.563281478,24926.267447,2431.0575215999997,46189.560714,32991.105943664
28/10/2030 17:00:00,550.0,10878.085298,21777.086962,45241.3315783534,860.0,62183.071915928,4332.6286137,19302.451472005,2821.2521013,99799.1,3791.0699670960003,8915.482647478,2337.151325,2522.9463489,47141.044948,32985.093120000005
28/10/2030 18:00:00,550.0,10877.856698,21776.341962,49797.171776061,860.0,54030.2518,4422.2397372,19107.195594515,2888.4634263,99799.1,3916.971478602,9018.635593822,0.0,2614.2128469,48170.307903,33273.14579
28/10/2030 19:00:00,550.0,10875.570698,21853.5668908396,45539.014915653395,860.0,59416.6348,4309.3977102,19127.533950379402,2815.8060789,99799.1,3816.2233147409997,8917.897385566,0.0,2606.9864076,49283.48979,33032.02238
28/10/2030 20:00:00,550.0,10877.399497999999,21938.6206068316,53130.78422863939,860.0,61355.921800000004,3903.8645241,18734.3639511794,2557.1524788,99799.1,3407.1296624280003,8569.670710294,0.0,2397.8140497,49303.898603,33307.10599
28/10/2030 21:00:00,550.0,10868.255498,22069.118958,39546.90600009239,860.0,66493.5388,2950.1588682,18502.2466833794,1932.1756218,99799.1,2596.431613743,7852.168033606,0.0,1961.0780715,48999.336839,34742.36367616
28/10/2030 22:00:00,550.0,10728.2799,21812.953358953146,35715.7460001864,860.0,56981.8808,2220.2471601,18274.8715320794,1445.4622898999999,99799.1,1997.0324826390001,7331.64914011,0.0,1505.5656048,47001.55336,37755.31080712
28/10/2030 23:00:00,550.0,10713.6495,21860.4952609016,31996.918976573696,860.0,58705.3018,2244.0095856,18199.0798149794,1424.6796096,99799.1,1884.116055726,7280.068259374,0.0,1281.8794581,46828.435989,38557.848390240004
29/10/2030 00:00:00,550.0,10711.3635,21946.193958,34867.7166394916,860.0,49788.9729567338,2381.950629,18067.0663851738,1510.5457089,99799.1,1987.322479479,7362.2680027900005,0.0,1292.4244134,46324.749372,38556.40972704
29/10/2030 01:00:00,550.0,10711.3635,21946.193958,34686.364748531596,860.0,53399.9261002718,2440.2251439,18149.9675430738,1548.7137486000001,99799.1,2067.860581866,7442.679588142,0.0,1351.1345004,45212.281829,37140.199121088
29/10/2030 02:00:00,550.0,10711.3635,21946.193958,36389.5223066816,860.0,45137.3285327258,2745.4516164,18313.3950666738,1743.672195,99799.1,2375.036884026,7725.415038454,0.0,1517.5551888,44163.323843,35897.940998048
29/10/2030 03:00:00,550.0,10711.3635,21946.193958,41635.8320427086,860.0,40933.8488,3465.1818792,18498.1359768738,2199.1813173,99799.1,3173.45975946,8404.734224566,0.0,1924.5578634,43900.540691999995,36038.484300096
29/10/2030 04:00:00,550.0,10717.5357,21966.308958,53711.710679799595,860.0,48576.248912155,4799.3228433,18732.620568973798,3038.7075299999997,99799.1,4483.454164776,9464.277281782,0.0,2615.7220209,44521.387149,37436.231011152
29/10/2030 05:00:00,550.0,10750.2255,22072.843958,48478.3596366756,860.0,49647.555700000004,5783.573358,19353.1657194738,3663.8891145000002,99799.1,5278.306634766,10120.884211222,64.792,3268.0293408,45654.479484,39489.402936432
29/10/2030 06:00:00,550.0,10757.5407,22096.683958,49383.3641325716,860.0,60193.0087,5644.1693097,19464.489704773798,3580.2093231,99799.1,5131.93511124,9994.81626043,6066.443305000001,3448.4866614000002,46251.165425,41177.157948512
