snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-07-31 19:00:00,1283.0451779034802,3479.20397722287,2630.0425941886806,2365.6441470556424,2731.5608839568927,2995.639961747824,4350.417583425427,4322.077138083218,2689.38799538498,1716.6915958122138,2807.711747862381,899.7599632852997
2030-07-31 20:00:00,1209.065263455792,3278.5943517679143,2478.395302680375,2229.241973050499,2574.0600850886985,2822.9124600956175,4099.574100922786,4072.867755266179,2534.3188698064673,1617.7077879319845,2645.82011810696,847.880133756562
2030-07-31 21:00:00,1102.2327562782561,2988.8991093321606,2259.405317635574,2032.2670732790198,2346.617199392312,2573.48108135206,3737.3374270232653,3712.990843035677,2310.387501474121,1474.7677961143152,2412.0365455393194,772.9617954227522
2030-07-31 22:00:00,975.4443425796564,2645.089896061316,1999.5088352515238,1798.4980104696622,2076.6888466246023,2277.456868562639,3307.436318451,3285.890290648286,2044.6266041750166,1305.1271568046354,2134.58308967888,684.0489960770107
2030-07-31 23:00:00,896.0728204164319,2429.859972482352,1836.809588451833,1652.1549353527432,1907.7094926820932,2092.1410997091784,3038.311527220843,3018.5186912186473,1878.2561422790386,1198.9294738305439,1960.8929039696359,628.3881985482944
2030-08-01 00:00:00,860.2292852172561,2332.663885882756,1763.335929126623,1586.0675904065063,1831.3997879429467,2008.4540025888587,2916.776955821399,2897.77584700674,1803.1245920133363,1150.9714621405976,1882.45582583955,603.2522341487213
2030-08-01 01:00:00,840.1702144107707,2278.270166837448,1722.2179610850703,1549.0832158373462,1788.69468750911,1961.620301688611,2848.76272230368,2830.2046867413096,1761.0788206292846,1124.1327826721445,1838.5601862124242,589.1854272090997
2030-08-01 02:00:00,822.554542861449,2230.502157127923,1686.1085806066233,1516.603915018648,1751.1915035390919,1920.4914228658092,2789.033315598579,2770.864382450767,1724.154652711205,1100.5633278905732,1800.0114828562935,576.8321007172278
2030-08-01 03:00:00,815.7575340574159,2212.0708653297247,1672.1757721790252,1504.0717732268677,1736.7208958810315,1904.6218404501815,2765.9867174545607,2747.9679195161843,1709.9074584604443,1091.4690511717974,1785.1374614281538,572.0655683321721
2030-08-01 04:00:00,847.3918787518743,2297.8529872481777,1737.0212471619268,1562.3983260725508,1804.0693728054289,1978.4813652451485,2873.2491987522108,2854.5316480090314,1776.2161343577063,1133.7952409360125,1854.3634892907833,594.2497574090913
2030-08-01 05:00:00,1001.4176361407855,2715.521076362478,2052.7500379414846,1846.386869685861,2131.9851323212906,2338.0990325876523,3395.503890001707,3373.3841530894447,2099.0691640372106,1339.8789609810178,2191.4209335195937,702.2632648053699
2030-08-01 06:00:00,1200.6359250076507,3255.736709372148,2461.1164729546217,2213.700185818984,2556.114301433441,2803.231732135897,4070.9927673633865,4044.472612504793,2516.650153207952,1606.4294832226944,2627.37403920409,841.9688989978516
2030-08-01 07:00:00,1306.0946980945519,3541.7068288004693,2677.290517272096,2408.1422316683347,2780.632552540524,3049.455731428136,4428.571525044701,4399.721952137547,2737.7020407271275,1747.5314432945709,2858.1514437808137,915.9238800343189
2030-08-01 08:00:00,1347.5795610373855,3654.2003735570906,2762.3280190162004,2484.6309047893233,2868.9524580610155,3146.31413936218,4569.234130150625,4539.468222019264,2824.6583648769547,1803.0374510282609,2948.9335448704896,945.0159333783266
2030-08-01 09:00:00,1357.9450789049665,3682.3083089688366,2783.575714710835,2503.742567493759,2891.0203038677437,3170.515438025003,4604.3804616820835,4574.385595601596,2846.3855026263623,1816.9063293156132,2971.61660139157,952.2849509753588
2030-08-01 10:00:00,1370.283045314106,3715.76488753738,2808.8666224205144,2526.490977701762,2917.2874275912036,3199.3219881437713,4646.21476879334,4615.947376484881,2872.2470851486714,1833.4143086204353,2998.6160039288025,960.9371858260771
2030-08-01 11:00:00,1376.8744925680046,3733.638762827488,2822.3780617163848,2538.6441106431066,2931.32040148604,3214.7116276822608,4668.564369982319,4638.151382995011,2886.063402315161,1842.2335476463736,3013.040191174047,965.5595642436913
2030-08-01 12:00:00,1361.0498691624553,3690.7274970054946,2789.9400507169607,2509.4670961595884,2897.6302999663253,3177.7644686346466,4614.90786505154,4584.844419048766,2852.8934462206175,1821.0604833809437,2978.4108719525207,954.4622445081176
2030-08-01 13:00:00,1342.0983214732298,3639.337022819213,2751.092332408315,2474.5247428888183,2857.2830797359975,3133.516600693177,4550.648906972564,4521.004070782357,2813.1691514513163,1795.7036501173723,2936.9388458667686,941.172109330711
2030-08-01 14:00:00,1329.762765700606,3605.8869811180343,2725.8063661276865,2451.780777347504,2831.021088178205,3104.715678902393,4508.822773599587,4479.450410390192,2787.3126218585667,1779.198896201272,2909.9447185704857,932.5215649849413
2030-08-01 15:00:00,1356.310667347504,3677.8763128949067,2780.2254258148632,2500.7290834782475,2887.540695545653,3166.6994316521973,4598.8386671291,4568.879902623373,2842.959616384896,1814.7195157621118,2968.0399880269274,951.1387886201575
2030-08-01 16:00:00,1374.1197924771889,3726.168906210527,2816.731355974581,2533.5650687987813,2925.4557358104325,3208.279983795674,4659.224016331069,4628.871876326161,2880.28928190014,1838.5478079886213,3007.0120294693597,963.6277781341605
2030-08-01 17:00:00,1359.5917627937802,3686.773583640264,2786.9511599728808,2506.778678903326,2894.5260395786836,3174.360097703907,4609.963867993578,4579.932629261878,2849.8371128728586,1819.1095630298812,2975.2200705283253,953.4397195375716
2030-08-01 18:00:00,1335.6291592352954,3621.7947449827466,2737.831558331532,2462.5970757668165,2843.5104466086223,3118.412470883304,4528.713937234454,4499.211994639867,2799.609155620673,1787.0480262647854,2922.7822572079376,936.6354856186748
2030-08-01 19:00:00,1300.2532875201132,3525.8668106520927,2665.3165362420423,2397.371996158351,2768.1963820088354,3035.817269391782,4408.765071061085,4380.044525704915,2725.457873689549,1739.7157399869031,2845.368575822307,911.8274791791446
2030-08-01 20:00:00,1246.4787804728362,3380.047721804575,2555.0871799796732,2298.2240081934538,2653.712229358478,2910.265133731729,4226.432005143037,4198.899253875512,2612.741255287222,1667.7664073314088,2727.6928167980936,874.1170779245264
2030-08-01 21:00:00,1150.5367620513098,3119.8839662146106,2358.420999110373,2121.3286983132107,2449.454835182895,2686.2607499859446,3901.1216800519496,3875.708136724973,2411.6374149552116,1539.3976954995917,2517.74110436041,806.8359030608897
2030-08-01 22:00:00,1012.6467097528263,2745.9706959428104,2075.7678882881137,1867.090733216674,2155.891459838022,2364.3165518340147,3433.5782775047455,3411.2105080582996,2122.606398962066,1354.9032614737298,2215.993725219459,710.1378673796978
2030-08-01 23:00:00,916.6645871056343,2485.6981906503074,1879.0195000082535,1690.1214802451414,1951.5486850881637,2140.218533177232,3108.1319711313836,3087.8842954646107,1921.4184962564718,1226.4808909022652,2005.9542519550484,642.828568661006
2030-08-02 00:00:00,850.6861231245982,2306.7859136337115,1743.7739345693083,1568.472165134118,1811.0827104693699,1986.1727312676765,2884.418983643665,2865.628668235455,1783.1211922796306,1138.2028812331748,1861.572345833731,596.559909262589
2030-08-02 01:00:00,829.6375956029152,2249.709107665127,1700.6277345130986,1529.6634569192038,1766.2710893095693,1937.0288575632965,2813.0498020960817,2794.724415479185,1739.001422989945,1110.0403263029277,1815.5114595799816,581.7992268826707
2030-08-02 02:00:00,816.2399900836633,2213.379130193865,1673.1647318202806,1504.961312655689,1737.7480288551644,1905.74827354615,2767.6225797109823,2749.5931250795475,1710.9187334082305,1092.1145687419282,1786.1932289693525,572.403899845309
2030-08-02 03:00:00,810.8323845076152,2198.715451040975,1662.079983408835,1494.990915119519,1726.2354148632423,1893.122654713733,2749.2870270839817,2731.3770179349817,1699.5838640127783,1084.8792887956383,1774.3596645983105,568.6117130397621
2030-08-02 04:00:00,837.1093634824949,2269.970128065046,1715.9436938539034,1543.4397013234488,1782.1782367938188,1954.4738601481204,2838.384303891032,2819.893877700433,1754.6629781601844,1120.0374186467009,1831.8620689069862,587.0389469710873
2030-08-02 05:00:00,973.5683194987155,2640.0027275991442,1995.663280398484,1795.039049633676,2072.6948553345437,2273.0767502260337,3301.0752924023514,3279.570702992066,2040.694276584501,1302.6170713360443,2130.477753300759,682.7333990212718
2030-08-02 06:00:00,1151.7255345765789,3123.1075332168944,2360.8577974633095,2123.5205250820686,2451.9856926974007,2689.036283181075,3905.152447624042,3879.7126461860043,2414.1291982639846,1540.988251965262,2520.3425175001935,807.6695525239884
2030-08-02 07:00:00,1256.6490367826673,3407.6261709597015,2575.934619921249,2316.9756528960356,2675.3643697461957,2934.010537827889,4260.916263873917,4233.158867677259,2634.059105742294,1681.374029132281,2749.9485788021593,881.249164620716
2030-08-02 08:00:00,1301.0326901353071,3527.98029872355,2666.9141900981062,2398.809037711202,2769.855704481015,3037.637010162079,4411.407789260025,4382.670028128763,2727.091577687641,1740.7585668041504,2847.0741571351723,912.3740501655045
2030-08-02 09:00:00,1310.2711258575368,3553.031951511507,2685.8515431014057,2415.8426167079715,2789.5240295582566,3059.2068096595303,4442.732526612615,4413.790703000044,2746.456241189279,1753.1194292553992,2867.2907987280746,918.8526798578976
2030-08-02 10:00:00,1320.9913360160476,3582.101697817011,2707.8263026976397,2435.6082515066823,2812.3470035587775,3084.2362400351967,4479.081512271723,4449.902896116468,2768.926848619809,1767.4628795106173,2890.750035019961,926.370432205787
2030-08-02 11:00:00,1329.5139222675812,3605.2121981276955,2725.2962758834688,2451.3219665269608,2830.491308713237,3104.1346819546425,4507.979020889085,4478.61215423884,2786.791021720837,1778.8659481200168,2909.4001698341553,932.3470587695577
2030-08-02 12:00:00,1315.9681173898236,3568.480351878612,2697.529487609275,2426.3465762771907,2801.6527367104522,3072.5080836830566,4462.049299366623,4432.981638192044,2758.39769181051,1760.7419024569047,2879.757631796892,922.8478040984197
2030-08-02 13:00:00,1299.7826655276688,3524.590635864111,2664.351834525215,2396.504276002369,2767.1944433025214,3034.71846626955,4407.169334428941,4378.4591843706785,2724.4714040323292,1739.0860561432257,2844.338704918503,911.4974465084829
2030-08-02 14:00:00,1287.836427552287,3492.1962982424902,2639.8639090361785,2374.4781241314167,2741.7612964999166,3006.826519448099,4366.663259787979,4338.216983294122,2699.430922563468,1723.1022025057252,2818.1965290357753,903.1199187119244
2030-08-02 15:00:00,1307.2063302513268,3544.721216047051,2679.569189895429,2410.1918291031275,2782.999180753692,3052.0511581277947,4432.340732991874,4403.4666058827925,2740.0321302899906,1749.0187873211382,2860.584049210171,916.7034333390601
2030-08-02 16:00:00,1314.9249692249643,3565.6516710912824,2695.391196493047,2424.423247782442,2799.431908658273,3070.0725526647466,4458.512299893277,4429.467680217204,2756.211151382865,1759.3461887917574,2877.4748911672737,922.1162765024477
2030-08-02 17:00:00,1290.8083040782658,3500.2550671830313,2645.9557926133143,2379.9575900384093,2748.088323646052,3013.7652245193804,4376.73999295143,4348.228072390086,2705.6602659960918,1727.078520365612,2824.699941993393,905.2040039491038
