snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
09/10/2030 06:00:00,9.094947017729282e-13,9.094947017729282e-13,0.0,-2.2737367544323206e-13,1.2505552149377763e-12,0.0,0.0,4.547473508864641e-13,3.637978807091713e-12,-1.4551915228366852e-11,0.0,0.0,0.0,3.637978807091713e-12,-2.2737367544323206e-13,-5.684341886080802e-14,1.8189894035458565e-12,3.637978807091713e-12,0.0,-2.2737367544323206e-13,0.0,0.0,0.0,-9.094947017729282e-13,1.8189894035458565e-12,9.094947017729282e-13,2.7517671696841717e-08
09/10/2030 07:00:00,0.0,0.0,2.2737367544323206e-13,0.0,-4.547473508864641e-12,-4.547473508864641e-13,0.0,9.094947017729282e-13,1.8189894035458565e-12,4.18367562815547e-11,0.0,0.0,0.0,0.0,-1.1368683772161603e-13,-2.2737367544323206e-13,-2.2737367544323206e-12,3.637978807091713e-12,0.0,0.0,0.0,2.2737367544323206e-13,-1.3642420526593924e-12,4.547473508864641e-13,1.8189894035458565e-12,2.2737367544323206e-12,-4.3951786210527644e-08
09/10/2030 08:00:00,-9.094947017729282e-13,0.0,-4.547473508864641e-13,0.0,-9.094947017729282e-13,0.0,0.0,4.547473508864641e-13,2.2737367544323206e-12,-9.094947017729282e-12,0.0,0.0,0.0,2.7284841053187847e-12,1.1368683772161603e-13,0.0,-1.8189894035458565e-12,0.0,0.0,0.0,-4.547473508864641e-13,2.2737367544323206e-13,-4.092726157978177e-12,1.8189894035458565e-12,1.8189894035458565e-12,2.7284841053187847e-12,4.803041520062834e-09
09/10/2030 09:00:00,1.3642420526593924e-12,0.0,-1.7053025658242404e-13,-2.2737367544323206e-13,-7.958078640513122e-13,9.094947017729282e-13,-1.1368683772161603e-13,9.094947017729282e-13,4.547473508864641e-12,-4.092726157978177e-11,4.547473508864641e-13,-4.547473508864641e-13,-1.1368683772161603e-13,-1.8189894035458565e-12,0.0,0.0,1.8189894035458565e-12,-1.3642420526593924e-12,-1.8189894035458565e-12,-4.547473508864641e-13,2.2737367544323206e-13,-4.547473508864641e-13,-9.094947017729282e-13,0.0,1.8189894035458565e-12,-9.094947017729282e-13,-2.9106558940839022e-08
09/10/2030 10:00:00,0.0,-4.547473508864641e-13,5.684341886080802e-14,-1.1368683772161603e-13,1.1368683772161603e-12,9.094947017729282e-13,0.0,0.0,2.2737367544323206e-12,2.9103830456733704e-11,-2.2737367544323206e-13,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,0.0,1.4779288903810084e-12,0.0,-2.2737367544323206e-13,0.0,0.0,-1.8189894035458565e-12,3.637978807091713e-12,1.8189894035458565e-12,0.0,1.0069925338029861e-08
09/10/2030 11:00:00,2.2737367544323206e-13,-4.547473508864641e-13,0.0,2.2737367544323206e-13,-5.9117155615240335e-12,1.8189894035458565e-12,0.0,0.0,8.185452315956354e-12,-9.094947017729282e-13,-6.821210263296962e-13,4.547473508864641e-13,0.0,2.7284841053187847e-12,0.0,-2.2737367544323206e-13,0.0,0.0,-9.094947017729282e-13,0.0,0.0,-2.2737367544323206e-13,0.0,4.547473508864641e-13,0.0,-1.3642420526593924e-12,-3.533159542712383e-08
09/10/2030 12:00:00,-4.547473508864641e-13,0.0,-4.547473508864641e-13,2.2737367544323206e-13,5.002220859751105e-12,0.0,0.0,5.684341886080801e-13,1.0913936421275139e-11,-1.6370904631912708e-11,0.0,-4.547473508864641e-13,0.0,5.4569682106375694e-12,-1.1368683772161603e-13,-2.2737367544323206e-13,0.0,0.0,0.0,0.0,2.2737367544323206e-13,2.2737367544323206e-13,-3.637978807091713e-12,2.7284841053187847e-12,1.8189894035458565e-12,-1.1368683772161603e-12,4.2068677430506796e-09
09/10/2030 13:00:00,-1.0231815394945443e-12,4.547473508864641e-13,4.547473508864641e-13,0.0,1.1368683772161603e-12,0.0,-1.1368683772161603e-13,4.547473508864641e-13,4.547473508864641e-12,1.8189894035458565e-12,0.0,0.0,-2.2737367544323206e-13,0.0,0.0,-2.2737367544323206e-13,1.8189894035458565e-12,0.0,0.0,0.0,0.0,2.2737367544323206e-13,-1.8189894035458565e-12,1.3642420526593924e-12,-1.8189894035458565e-12,0.0,-4.5879460230935365e-08
09/10/2030 14:00:00,9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,0.0,0.0,0.0,4.547473508864641e-13,2.7284841053187847e-12,5.4569682106375694e-12,0.0,0.0,4.547473508864641e-13,9.094947017729282e-13,0.0,5.684341886080802e-14,1.3642420526593924e-12,-6.821210263296962e-13,0.0,0.0,0.0,0.0,9.094947017729282e-13,2.2737367544323206e-12,-1.8189894035458565e-12,-1.8189894035458565e-12,-2.4377186491619796e-08
09/10/2030 15:00:00,-9.094947017729282e-13,9.094947017729282e-13,-6.821210263296962e-13,0.0,1.1368683772161603e-12,0.0,0.0,4.547473508864641e-13,4.547473508864641e-12,1.2732925824820995e-11,-2.2737367544323206e-13,0.0,0.0,7.275957614183426e-12,0.0,0.0,0.0,2.9558577807620168e-12,-9.094947017729282e-13,2.2737367544323206e-13,0.0,-6.821210263296962e-13,-2.7284841053187847e-12,1.3642420526593924e-12,1.8189894035458565e-12,4.547473508864641e-13,-4.494359018281102e-08
