snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
13/11/2030 05:00:00,0.0,12687.47,19927.045,26144.756487169998,11075.74118306,10941.659855587,6664.697539549999,108013.93144118799,6804.966884394,8451.49352,0.0,232.3,65625.189433735,19856.377474009998
13/11/2030 06:00:00,0.0,12697.47,20158.467434284004,45721.23588308751,11928.36331681,10941.659855587,4218.887819699999,109738.59,6659.3864706879995,8451.49352,1670.668742114,232.3,66957.699942723,19334.197910125
13/11/2030 07:00:00,0.0,13275.22,20666.415227324,56042.12580494101,12104.621993186,10941.659855587,5955.074720381,109738.59,6262.884756176,8451.49352,10778.149091631,232.3,68826.44150249299,18288.978709599
13/11/2030 08:00:00,0.0,13273.22,20990.533,52733.324187114005,11637.503137550002,10941.659855587,3775.614984,109738.59,5845.3111376179995,8451.49352,29636.226990232,232.3,70241.107479987,16916.500127519
13/11/2030 09:00:00,0.0,13070.77458120401,20996.032,29432.135860607,10406.341468950997,10941.659855587,3542.2473402,109738.59,5458.276045342,8451.49352,51008.265486416,232.3,69740.289468717,16080.150693771
13/11/2030 10:00:00,0.0,12357.652,20926.764644601004,43812.48478302701,10290.999949906,10941.659855587,3362.4707706,109738.59,5161.354411535,8451.49352,66315.220516982,232.3,63013.730030698,13384.743635037
13/11/2030 11:00:00,0.0,12351.902,18834.86670331301,42085.681040109994,10902.255399112,10941.659855587,3265.9781166000002,109738.59,5008.958900022,8451.49352,72527.428454996,232.3,64654.144541564,13544.646184054
13/11/2030 12:00:00,0.0,12343.902,18474.292,39826.840641588,11260.469675380004,10941.659855587,3222.8648568,109500.042849064,4896.655530783,8451.49352,69132.493659532,232.3,67607.8538696,13032.51808596
13/11/2030 13:00:00,0.0,12346.652,18481.013,51035.26264397701,11669.165942487,10941.659855587,3265.3350513,108129.58600008301,4896.042405733,8451.49352,57986.394796194,232.3,69632.695163309,12283.776916009
13/11/2030 14:00:00,0.0,12347.402,18482.846,62911.402416295896,12882.133626102994,10941.659855587,5455.833175496,109537.42504074798,4981.794342631,8451.49352,40396.802365538,232.3,72567.019953832,12004.047704524
