snapshot,Austria,Belgium,Bulgaria,Croatia,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Netherlands,Poland,Portugal,Romania,Slovakia,Slovenia,Spain,Sweden,Norway,Switzerland,UK
28/07/2030 20:00:00,9.094947017729282e-13,0.0,0.0,0.0,-1.1368683772161603e-12,0.0,-1.7053025658242404e-13,0.0,9.094947017729282e-13,0.0,6.821210263296962e-13,0.0,6.821210263296962e-13,3.637978807091713e-12,5.684341886080802e-14,0.0,0.0,1.8189894035458565e-12,0.0,4.547473508864641e-13,2.2737367544323206e-13,0.0,9.094947017729282e-13,-1.8189894035458565e-12,0.0,0.0,-4.4972694013267756e-08
28/07/2030 21:00:00,6.821210263296962e-13,0.0,-1.1368683772161603e-13,2.2737367544323206e-13,-4.547473508864641e-13,9.094947017729282e-13,1.1368683772161603e-13,-6.821210263296962e-13,2.7284841053187847e-12,7.275957614183426e-12,1.3642420526593924e-12,5.684341886080802e-14,0.0,5.4569682106375694e-12,0.0,0.0,0.0,1.8189894035458565e-12,-4.547473508864641e-13,-4.547473508864641e-13,2.2737367544323206e-13,-1.1368683772161603e-13,-1.8189894035458565e-12,-2.2737367544323206e-13,1.8189894035458565e-12,0.0,-3.18486854666844e-08
28/07/2030 22:00:00,-4.547473508864641e-13,9.094947017729282e-13,-3.410605131648481e-13,2.2737367544323206e-13,-1.4779288903810084e-12,-9.094947017729282e-13,-1.1368683772161603e-13,-3.979039320256561e-13,1.546140993013978e-11,-9.094947017729282e-13,-9.094947017729282e-13,-1.0231815394945443e-12,0.0,0.0,5.684341886080802e-14,0.0,-9.094947017729282e-13,0.0,4.547473508864641e-13,0.0,0.0,-4.547473508864641e-13,-1.8189894035458565e-12,2.2168933355715126e-12,1.8189894035458565e-12,0.0,-4.3574800656642765e-08
28/07/2030 23:00:00,0.0,0.0,3.410605131648481e-13,0.0,0.0,-9.094947017729282e-13,0.0,-4.547473508864641e-13,4.547473508864641e-12,-9.094947017729282e-13,-9.094947017729282e-13,2.2737367544323206e-13,0.0,9.094947017729282e-13,0.0,-2.2737367544323206e-13,0.0,9.094947017729282e-13,0.0,-4.547473508864641e-13,0.0,0.0,-2.7284841053187847e-12,9.094947017729282e-13,1.4779288903810084e-12,0.0,3.260902303736657e-08
29/07/2030 00:00:00,9.094947017729282e-13,9.094947017729282e-13,-2.2737367544323206e-13,0.0,0.0,4.547473508864641e-13,0.0,-4.547473508864641e-13,3.183231456205249e-12,-1.3642420526593924e-12,-9.094947017729282e-13,4.547473508864641e-13,0.0,0.0,0.0,-1.1368683772161603e-13,4.547473508864641e-13,0.0,-4.547473508864641e-13,0.0,0.0,-1.1368683772161603e-13,0.0,1.3642420526593924e-12,0.0,0.0,-1.48761500895489e-08
29/07/2030 01:00:00,9.094947017729282e-13,0.0,1.1368683772161603e-13,0.0,0.0,0.0,0.0,6.821210263296962e-13,0.0,7.958078640513122e-12,0.0,0.0,0.0,3.637978807091713e-12,0.0,0.0,0.0,4.547473508864641e-13,4.547473508864641e-13,0.0,-4.547473508864641e-13,0.0,-3.637978807091713e-12,2.2737367544323206e-13,0.0,-9.094947017729282e-13,-1.2434838936314918e-08
29/07/2030 02:00:00,1.8189894035458565e-12,0.0,2.2737367544323206e-13,2.2737367544323206e-13,-4.547473508864641e-13,0.0,-1.1368683772161603e-13,4.547473508864641e-13,1.0913936421275139e-11,2.2737367544323206e-13,-9.094947017729282e-13,0.0,2.2737367544323206e-13,1.8189894035458565e-12,0.0,1.1368683772161603e-13,0.0,1.8189894035458565e-12,-1.1368683772161603e-13,0.0,-4.547473508864641e-13,4.547473508864641e-13,1.9326762412674725e-12,1.3642420526593924e-12,9.094947017729282e-13,-4.547473508864641e-13,4.595858626998961e-08
29/07/2030 03:00:00,9.094947017729282e-13,9.094947017729282e-13,0.0,1.1368683772161603e-13,-9.094947017729282e-13,9.094947017729282e-13,-8.526512829121202e-14,-3.410605131648481e-13,3.637978807091713e-12,3.637978807091713e-12,-9.094947017729282e-13,2.2737367544323206e-13,0.0,1.8189894035458565e-12,0.0,0.0,-9.094947017729282e-13,0.0,0.0,-2.2737367544323206e-13,0.0,2.2737367544323206e-13,-2.7284841053187847e-12,1.2505552149377763e-12,0.0,0.0,-1.4100578482612036e-08
29/07/2030 04:00:00,-4.547473508864641e-13,0.0,-2.2737367544323206e-13,2.2737367544323206e-13,0.0,0.0,0.0,3.126388037344441e-13,3.637978807091713e-12,5.4569682106375694e-12,-1.8189894035458565e-12,4.547473508864641e-13,0.0,1.8189894035458565e-12,1.1368683772161603e-13,0.0,4.547473508864641e-13,0.0,1.8189894035458565e-12,-2.2737367544323206e-13,-4.547473508864641e-13,1.1368683772161603e-13,-9.094947017729282e-13,-3.126388037344441e-13,1.3642420526593924e-12,4.547473508864641e-13,-4.501748662733007e-08
29/07/2030 05:00:00,-4.547473508864641e-13,0.0,-4.547473508864641e-13,2.2737367544323206e-13,-4.547473508864641e-13,0.0,-5.684341886080802e-14,4.547473508864641e-13,7.275957614183426e-12,4.547473508864641e-12,-9.094947017729282e-13,0.0,0.0,3.637978807091713e-12,0.0,0.0,4.547473508864641e-13,9.094947017729282e-13,0.0,0.0,2.2737367544323206e-13,-4.547473508864641e-13,-3.637978807091713e-12,9.094947017729282e-13,9.094947017729282e-13,-9.094947017729282e-13,-1.119610715250019e-08
