snapshot,BECCS,Biogas,Biomass,CCGT,Hard coal,Hydro,Lignite,Nuclear,Oil,Other RES,PV,SCGT,Wind,Wind offshore
12/04/2030 09:00:00,0.0,389.81412,1652.3822649407994,71434.2081587651,6690.68944609,619.381015995875,4828.42620711,185.10270547520122,5422.90442798666,-4.476419235288631e-13,-1.0200241717939207e-07,10097.0065,3.099836498599018e-08,-1.1013412404281553e-13
12/04/2030 10:00:00,0.0,389.81412,746.2572,73490.3172150774,6522.97423897856,998.2082510258751,4826.52148995,2200.061104317596,5417.8324509903405,270.4468099999996,1.6002559277694672e-08,10097.0065,336.22528602599937,1.7810082909998863
12/04/2030 11:00:00,0.0,389.81412,746.2572,74289.11168660136,6684.74161381,998.2082510258751,4824.67401357,1940.3104478664013,5413.9656186667,270.4468099999996,9.000956424642936e-09,10097.0065,2813.3148943829997,1.7640276249999254
12/04/2030 12:00:00,0.0,1377.7022451088733,746.2572,74929.2421494265,6684.62542894,998.2082510258751,4824.29162931,2387.795947401594,5415.0161644500595,270.4468099999996,4.999725433663116e-08,10097.0065,4086.0313947490017,1.7995490990000356
12/04/2030 13:00:00,0.0,389.81412,1672.9571999999998,75124.5390496524,6464.6467425727205,998.2082510258751,4824.24039675,2173.6507183656054,5416.93788252538,270.4468099999996,-8.213874025386758e-12,10097.0065,4017.6583121129997,1.8956130420000425
12/04/2030 14:00:00,0.0,389.81412,746.2572,74012.4438177916,6113.126761189999,998.2082510258751,4826.18158554,2394.49614324,5424.59775891996,270.4468099999996,3.000009485276678e-08,10097.0065,2907.049701074003,2.191696308999968
12/04/2030 15:00:00,0.0,389.81412,746.2572,64977.27042012141,5724.3956764288,874.2916756028729,4828.45351836,2127.6243860592003,5432.134384726281,-4.476419235288631e-13,4.899970917904284e-08,10097.0065,-2.0997758226615204e-08,-5.706546346573305e-14
12/04/2030 16:00:00,0.0,389.81412,746.2572,50903.095170389,5066.884773232399,378.827235026875,4830.95184951,0.0,5437.9801121850205,-4.476419235288631e-13,6.9997412310840446e-09,10097.0065,-4.00094715691246e-09,2.4846791291111003e-13
12/04/2030 17:00:00,0.0,59.48964,926.6999999999999,43770.346615435,4281.337679999119,-3.1250237952917814e-09,4833.81846477,0.0,5442.84821570408,-4.476419235288631e-13,-6.998329693530536e-09,10097.0065,-1.4001100723248783e-08,-1.5987211554602254e-13
12/04/2030 18:00:00,0.0,59.48964,-1.8189894035458565e-14,43864.3694434044,4412.3219319419995,-3.1250237952917814e-09,3919.9743430032004,0.0,5439.50024302438,-4.476419235288631e-13,-2.4868995751603507e-14,10097.0065,2.800076970288501e-08,3.552713678800501e-14
12/04/2030 19:00:00,0.0,59.48964,35.17745769539986,52355.083383458936,4682.76386776,-3.1250237952917814e-09,4830.50977908,0.0,5422.0026601542,-4.476419235288631e-13,0.0,10097.0065,4.5999655640116544e-08,0.0
12/04/2030 20:00:00,0.0,59.48964,37.23485282700012,51266.476854505,5369.180284855999,-3.1250237952917814e-09,4282.4230378376005,0.0,5389.9020116281,-4.476419235288631e-13,0.0,10097.0065,-2.9975524423742073e-09,-1.1390888232654106e-13
12/04/2030 21:00:00,0.0,59.48964,84.22952803079995,59579.96770359152,5401.08065221,-3.1250237952917814e-09,4810.0198656,0.0,5361.99689100807,-4.476419235288631e-13,0.0,10097.0065,4.4003968469041865e-08,-2.8199664825478976e-14
12/04/2030 22:00:00,0.0,59.48964,144.37007428919983,64499.109918122005,5767.229428846367,-3.1250237952917814e-09,4808.19837498,0.0,5350.43619485242,-4.476419235288631e-13,0.0,10097.0065,-4.100229578085646e-08,-1.141309269314661e-13
12/04/2030 23:00:00,0.0,59.48964,812.4,59703.4725888732,5872.1167176504005,-3.1250237952917814e-09,4809.26680191,0.0,5354.536958324081,-4.476419235288631e-13,0.0,10097.0065,-8.000926143836296e-09,-7.105427357601002e-14
13/04/2030 00:00:00,0.0,59.48964,153.67626079560014,66208.60694205396,5868.2330931764,-7.1621002462052274e-09,4810.15087389,0.0,5358.44009659617,-4.476419235288631e-13,0.0,10097.0065,-9.98797489160097e-10,0.0
13/04/2030 01:00:00,0.0,59.48964,1081.5041795255997,63952.02509328051,5903.1808819904,-7.1621002462052274e-09,4813.69934898,0.0,5371.2472209670395,-4.476419235288631e-13,0.0,10097.0065,-7.998792544983147e-09,1.1324274851176597e-13
13/04/2030 02:00:00,0.0,59.48964,112.55476799519997,62173.2901675369,5681.115171846,-7.1621002462052274e-09,4822.82167815,0.0,5403.310968751561,-4.476419235288631e-13,0.0,10097.0065,5.001091069045671e-09,3.481659405224491e-13
13/04/2030 03:00:00,0.0,59.48964,1.6836387780000222,60045.516491471506,5642.8711455107195,-7.1621002462052274e-09,4841.12716896,0.0,5454.77183396508,-4.476419235288631e-13,0.0,10097.0065,2.9997269113124503e-09,-8.284484209752918e-13
13/04/2030 04:00:00,0.0,59.48964,0.0,51506.8793282923,5085.5678369816,-7.1621002462052274e-09,4854.32417904,0.0,5485.82659082386,-4.476419235288631e-13,-1.5543122344752192e-15,10097.0065,-9.991101834749827e-10,1.1368683772161603e-13
13/04/2030 05:00:00,0.0,59.48964,60.00000000000001,45823.502793853404,4963.93072358664,-7.1621002462052274e-09,4852.7722172700005,0.0,5480.49093869698,-4.476419235288631e-13,6.572520305780927e-14,10097.0065,2.001286580899375e-09,-2.7755575615628914e-14
13/04/2030 06:00:00,0.0,59.48964,1.8189894035458565e-14,47710.1164002452,5393.747938534996,-7.1621002462052274e-09,4846.07965194,0.0,5463.04778392496,-4.476419235288631e-13,6.999854917921766e-09,10097.0065,1.1001107913521935e-08,1.4654943925052066e-14
13/04/2030 07:00:00,0.0,59.48964,926.6999999999999,54499.37556147591,6241.37626290048,-7.1621002462052274e-09,4841.98345194,0.0,5450.84733349324,-4.476419235288631e-13,-5.9975349131491384e-09,10097.0065,9.001979495160128e-09,8.055778266680136e-13
13/04/2030 08:00:00,0.0,59.48964,0.0,67935.17932606571,6627.9955491788005,-7.1621002462052274e-09,4837.06664367,0.0,5437.67608034786,-4.476419235288631e-13,2.5000503001137986e-08,10097.0065,-3.998578135266939e-09,-4.984901380566953e-14
13/04/2030 09:00:00,0.0,59.48964,0.0,73460.2385,6696.82342462,-7.1621002462052274e-09,4833.28028127,0.0,5433.937100449,-4.476419235288631e-13,1.2001123650406953e-08,10097.0065,7.000991786298982e-09,-8.593126210598712e-14
13/04/2030 10:00:00,0.0,389.81412,308.2317,77364.22045000001,6693.59959225,-7.1621002462052274e-09,4831.09025751,0.0,5428.46730587884,-4.476419235288631e-13,-2.0998840000174823e-08,10097.0065,1.0010261508597296e-09,-2.842170943040401e-14
13/04/2030 11:00:00,0.0,389.81412,1672.9571999999998,77365.11361185642,6691.20815815,-7.1621002462052274e-09,4829.66286081,577.9248744884011,5424.31868408452,-4.476419235288631e-13,1.5995539115465363e-08,10178.3115,5.000986402770025e-09,-8.881784197001252e-16
13/04/2030 12:00:00,0.0,389.81412,746.2572,77484.6147739345,6690.12039541,626.6820439648379,4828.6775022,929.1080066176081,5423.04560584304,-4.476419235288631e-13,9.99520466393733e-09,10178.3115,6.999099744220416e-09,1.0764722446765518e-12
13/04/2030 13:00:00,0.0,389.81412,746.2572,76977.35045,6691.1855368,626.6820439648379,4829.19782997,1090.8148476951997,5425.77078595058,-4.476419235288631e-13,-1.7008005670504645e-08,10097.0065,9.996232730458132e-10,-1.1368683772161603e-13
13/04/2030 14:00:00,0.0,389.81412,746.2572,73158.89768716815,6431.876439562399,-7.1621002462052274e-09,4830.67481967,893.8403402795957,5425.2770543120005,-4.476419235288631e-13,-8.000017714948626e-08,10097.0065,-3.000409254383385e-09,-1.1013412404281553e-13
13/04/2030 15:00:00,0.0,389.81412,635.6325672018005,65099.8163195446,5589.6576441332,-7.1621002462052274e-09,4833.22058832,0.0,5432.268273489421,-4.476419235288631e-13,-5.900029975691723e-08,10097.0065,-1.5999532365640334e-08,-7.105427357601002e-15
13/04/2030 16:00:00,0.0,59.48964,0.0,50441.092103681956,4947.957644042799,-7.1621002462052274e-09,4836.07865325,0.0,5438.47531141898,-4.476419235288631e-13,5.200163855079154e-08,10097.0065,4.000185072072782e-09,5.3290705182007514e-14
13/04/2030 17:00:00,0.0,59.48964,60.0,35575.77150931375,4228.84455412168,-7.1621002462052274e-09,4352.3749655348,0.0,5443.69861219116,-4.476419235288631e-13,3.999165221202361e-09,10097.0065,-1.0999398725175524e-08,-3.552713678800501e-15
13/04/2030 18:00:00,0.0,59.48964,60.00000000000002,33772.7063947284,4280.435946562,-7.1621002462052274e-09,4838.8393512,0.0,5439.02554287822,-4.476419235288631e-13,1.7763568394002505e-14,10097.0065,-8.00044119841914e-09,-5.3290705182007514e-14
13/04/2030 19:00:00,0.0,59.48964,0.0,49445.3685116655,5192.1783207308,-7.1621002462052274e-09,4272.5270717700005,0.0,5421.74864407122,-4.476419235288631e-13,0.0,10097.0065,4.999932912141958e-09,1.1390888232654106e-13
13/04/2030 20:00:00,0.0,59.48964,926.6999999999999,48028.4797337686,5189.2635779008,-7.1621002462052274e-09,4823.54143656,0.0,5387.72424591339,-4.476419235288631e-13,0.0,10097.0065,-8.000654361239867e-09,2.220446049250313e-16
13/04/2030 21:00:00,0.0,59.48964,1.8189894035458565e-14,48265.5556921934,5560.144250790001,-7.1621002462052274e-09,4812.04146402,0.0,5358.54388628444,-4.476419235288631e-13,0.0,10097.0065,-6.99997061703872e-09,2.90878432451791e-14
13/04/2030 22:00:00,0.0,59.48964,0.0,53431.07131021881,6547.45697052,-7.1621002462052274e-09,4808.74021194,0.0,5347.80451592381,-4.476419235288631e-13,0.0,10097.0065,1.999552523557213e-09,-1.4921397450962104e-13
13/04/2030 23:00:00,0.0,59.48964,-9.094947017729283e-15,56569.1676192346,6075.97463466104,-7.1621002462052274e-09,4809.69995931,0.0,5351.36891585406,-4.476419235288631e-13,0.0,10097.0065,3.0016744645422477e-09,-4.2665870836344766e-13
14/04/2030 00:00:00,0.0,59.48964,926.6999999999999,64404.236344928155,6088.5753861906005,-8.212115432115752e-09,4810.70004195,0.0,5355.2042796939795,-4.476419235288631e-13,0.0,10097.0065,2.00024263818932e-09,-5.88418203051333e-14
14/04/2030 01:00:00,0.0,59.48964,0.0,60513.834241674005,5930.62201118,-8.212115432115752e-09,4814.01614091,0.0,5367.1483125555,-4.476419235288631e-13,0.0,10097.0065,2.0011210466464036e-09,5.684341886080802e-14
