snapshot,EN_NorthEast,EN_NorthWest,EN_Yorkshire,EN_EastMidlands,EN_WestMidlands,EN_East,EN_London,EN_SouthEast,EN_SouthWest,EN_Wales,Scotland,NorthernIreland
2030-05-25 15:00:00,1457.2258945686388,3951.5258039314067,2987.085909424256,2686.7938618164167,3102.385887297436,3402.315209349493,4941.011636950449,4908.823814161732,3054.4877880456484,1949.7422923903518,3188.8746662492226,1021.9075212440423
2030-05-25 16:00:00,1478.1071258632917,4008.1489565848296,3029.889178295724,2725.2941137531616,3146.8413403053587,3451.0684816379826,5011.813567663652,4979.1645113935465,3098.2568881052885,1977.681007948533,3234.5694550419507,1036.5508839459924
2030-05-25 17:00:00,1465.564367979066,3974.137049702915,3004.178479988115,2702.168114538358,3120.138222283064,3421.7837866049445,4969.284874688597,4936.912868167307,3071.966042651214,1960.8990212975712,3207.1219034914457,1027.755035157684
2030-05-25 18:00:00,1444.6987000652994,3917.5560999100085,2961.4071136212083,2663.696557944174,3075.71590319995,3373.0668515293028,4898.535714686069,4866.624597875618,3028.2295649578346,1932.981129265817,3161.4611723360495,1013.1225865741578
2030-05-25 19:00:00,1404.945964598484,3809.7595252269316,2879.9202031726777,2590.4015348178737,2991.083639970628,3280.252596034598,4763.746229216287,4732.713187664685,2944.903949157725,1879.7926772442454,3074.4695181822776,985.2452207416017
2030-05-25 20:00:00,1347.5378403031661,3654.0872404056418,2762.242498015111,2484.553981223095,2868.863635993324,3146.216730244549,4569.092667777461,4539.327681191352,2824.5709141435746,1802.9816294289603,2948.8422466078764,944.98667591574
2030-05-25 21:00:00,1247.0956407476913,3381.720447565623,2556.3516473776044,2299.361358556398,2655.0255045468193,2911.7053724092093,4228.523591497488,4200.977214758931,2614.0342546660404,1668.5917553923127,2729.0427036690544,874.5496629868568
2030-05-25 22:00:00,1105.9225050104803,2998.904515755248,2266.968727322722,2039.0701326278377,2354.472552798528,2582.0958666623637,3749.848247405536,3725.420162685103,2318.1215751586083,1479.7046142001896,2420.110891665661,775.5493022705334
2030-05-25 23:00:00,1010.6306987110446,2740.5039253602235,2071.635379938795,1863.373666348317,2151.599438794496,2359.609591125153,3426.7425946811068,3404.4193557404633,2118.3806429343704,1352.2058746068494,2211.5820505697166,708.7241010897998
2030-05-26 00:00:00,1145.3650586768442,3105.8599776136334,2347.8198134361637,2111.7932509035536,2438.44444920085,2674.185913054504,3883.58600033933,3858.28669178704,2400.797019612542,1532.4780484973826,2506.423769187012,803.2091471847363
2030-05-26 01:00:00,1134.7133118934657,3076.975881861325,2325.9853930858417,2092.1538470322166,2415.7672314688652,2649.3163302243443,3847.4691532487823,3822.405124991147,2378.4699181024394,1518.2262010186948,2483.11435257877,795.7394060877023
2030-05-26 02:00:00,1118.8743747131932,3034.02580170699,2293.518041079684,2062.9504411963294,2382.046656394667,2612.3357515307957,3793.764114643343,3769.0499435389615,2345.2699589381905,1497.0339851776278,2448.4537102564386,784.6320485439197
2030-05-26 03:00:00,1105.79027659613,2998.5459550178457,2266.6976796870713,2038.8263334383234,2354.1910428637198,2581.78714119507,3749.3999009024465,3724.9747368992375,2317.8444114886706,1479.5276949368993,2419.8215337546794,775.4565745667159
2030-05-26 04:00:00,1100.9059085715166,2985.3011270491043,2256.685486685873,2029.8206672088827,2343.7923843685576,2570.3831717211942,3732.8384883316753,3708.5212123182396,2307.60629910053,1472.9924975150839,2409.1329798987667,772.0313180986005
2030-05-26 05:00:00,1140.1713533763236,3091.7763268979024,2337.173527243535,2102.217236935141,2427.387221843601,2662.059706264807,3865.975718759507,3840.7911309697656,2389.9105060841475,1525.5289633099862,2495.058286787526,799.5669620372522
2030-05-26 06:00:00,1261.1994419287053,3419.9653995034223,2585.2622410845593,2325.365567363465,2685.0520322830553,2944.634774395995,4276.3453094757115,4248.487402002795,2643.597199322046,1687.462390170751,2759.9063154478335,884.4402232347412
2030-05-26 07:00:00,1408.4768010714574,3819.3340129466606,2887.157867502011,2596.9115960225377,2998.600674415965,3288.4963547260254,4775.7182262595425,4744.6071940963875,2952.3049272274125,1884.5168735576167,3082.196113641019,987.7212873291245
2030-05-26 08:00:00,1469.3509747425715,3984.40510381251,3011.940433539692,2709.1497581168987,3128.1997832446345,3430.624714995881,4982.1241113181195,4949.668464622764,3079.903140228444,1965.9654337041686,3215.408205858289,1030.410465551861
2030-05-26 09:00:00,1478.6651152942868,4009.6620436381927,3031.032969641421,2726.3229196395687,3148.0292814079926,3452.371269307901,5013.705540817655,4981.044159440652,3099.426488446036,1978.4275878688961,3235.790513744769,1036.9421847034341
2030-05-26 10:00:00,1466.7850678845384,3977.4471934447397,3006.680724493144,2704.4188081510415,3122.7370521374314,3424.6338635009965,4973.42389833664,4941.024928478793,3074.5247488669283,1962.5322960292967,3209.7931839141725,1028.611074306613
2030-05-26 11:00:00,1452.8599439678062,3939.686756517973,2978.1363913230493,2678.7440396721413,3093.0909224061693,3392.121635252405,4926.208020842976,4894.116635020393,3045.336329206523,1943.9007282480607,3179.3205749329877,1018.8458149066789
2030-05-26 12:00:00,1433.3987203710592,3886.9142059441388,2938.243916859983,2642.861959688477,3051.658618971868,3346.6837815314725,4860.220906134663,4828.559388061974,3004.5437039599838,1917.8619576980248,3136.7332155309987,1005.1982597539377
2030-05-26 13:00:00,1410.427411475853,3824.6234381312624,2891.1563147403303,2600.5080789568983,3002.7534596586415,3293.0506187362416,4782.3321553306605,4751.178037258684,2956.393597132105,1887.1267555365205,3086.464670853379,989.089190171572
2030-05-26 14:00:00,1391.1896249442304,3772.456776686687,2851.721851428016,2565.0379662168293,2961.7968463696548,3248.1344434509188,4717.1026480345035,4686.373462339885,2916.0693177949847,1861.3869398000006,3044.366262957902,975.5983245329459
